AgentID,ArrivingTime,Latitude,Longitude,Distance
0,2008-10-23 03:02:25,39.98401051351351,116.2989504054054,0
0,2008-10-23 04:32:22,39.99978552941178,116.32424205882351,2780
0,2008-10-23 09:44:55,40.00882933757962,116.32129895541404,1035
0,2008-10-23 10:07:14,40.007711291666666,116.31928302083323,212
0,2008-10-28 00:38:26,40.011067968337755,116.29682946437997,1953
0,2008-10-28 01:23:26,40.0085675755287,116.29661200906352,278
0,2008-10-28 02:56:16,39.99992917647059,116.32380847058823,2512
0,2008-11-04 00:07:23,40.011078338056706,116.2969118603238,2609
0,2008-11-04 01:15:13,40.00799059701502,116.29664018369698,343
0,2008-11-10 01:51:52,39.974980120000005,116.33174744,4735
0,2008-11-11 00:17:04,40.01104450131235,116.29681429921253,4993
0,2008-11-11 00:58:29,40.00794536797752,116.2963999353931,345
0,2008-11-12 02:57:25,40.00059121428571,116.32354978571428,2457
0,2008-11-12 03:39:53,40.00883737500001,116.3218404117647,927
0,2008-11-13 03:46:08,40.00847139999999,116.32056170526316,116
0,2008-11-13 06:51:59,39.995287,116.31734666666667,1489
0,2008-11-13 07:57:44,39.9585642,116.31641565,4078
0,2008-11-13 11:05:39,39.99968636363637,116.32421713636363,4614
0,2008-11-14 01:59:30,39.99980946666666,116.32445809999999,24
0,2008-11-14 04:01:15,40.00910170270271,116.32120862162164,1068
0,2008-11-14 04:46:24,40.00779302272727,116.32064590909094,153
0,2008-11-14 10:31:26,40.009365312499995,116.32118416666664,180
0,2008-11-14 11:18:44,40.008905171052604,116.32151568421057,58
0,2008-11-15 01:08:18,40.000388093750004,116.32447887499998,978
0,2008-11-15 03:31:45,40.00906395161291,116.32084556451612,1012
0,2008-11-18 09:54:00,40.01037625,116.32227925000001,190
0,2008-11-18 11:05:56,39.99491337704919,116.32646459016392,1753
0,2008-11-19 11:32:40,40.010455285714286,116.32096314285715,1788
0,2008-11-22 01:54:24,40.00051259999999,116.32445475,1143
0,2008-11-22 04:52:14,40.008516274509795,116.32296076470587,897
0,2008-12-02 07:19:51,40.0020554,116.3247632,733
0,2008-12-02 10:51:34,40.007971999999995,116.3208005,738
0,2008-12-10 02:40:13,40.00071457142858,116.32381507142858,845
0,2008-12-12 04:43:20,39.99987857142857,116.32322280952381,105
0,2009-03-30 01:04:38,40.00771888,116.31989600000006,915
0,2009-03-30 04:00:07,40.006116846153844,116.32590453846159,543
0,2009-03-30 06:21:05,40.00092785135136,116.32646802702705,578
0,2009-03-30 09:46:35,40.01085691428572,116.32278145714288,1146
0,2009-03-30 10:17:10,40.000297231884055,116.32680050724639,1221
0,2009-03-31 01:13:44,39.99695162857142,116.3220928,547
0,2009-03-31 01:46:28,40.00074711764706,116.32685813235288,585
