Latitude Longitude ArrivingTime LeavingTime AgentID
26.42438077653631 111.61261222346367 2009-01-27,03:53:09 2009-01-27,04:36:23 135
39.970545590909104 116.39431309999998 2009-01-10,01:48:22 2009-01-10,02:25:17 135
39.936356350769245 116.3890431784614 2008-12-27,08:10:49 2008-12-27,08:38:28 135
39.936055086363666 116.38837752727267 2008-12-27,08:38:33 2008-12-27,09:13:47 135
39.939358762886634 116.39731274570454 2008-12-27,09:40:24 2008-12-27,11:24:34 135
39.93564347368421 116.33471268421052 2009-01-01,02:48:21 2009-01-01,03:35:34 135
39.93614978723405 116.33601499999996 2009-01-01,03:35:36 2009-01-01,05:34:29 135
39.96823105422448 116.39954560529625 2009-01-01,06:11:14 2009-01-01,07:48:25 135
39.97527258333333 116.39520483333332 2009-01-12,01:48:22 2009-01-12,02:08:52 135
39.89272592550143 116.31405046131803 2009-01-24,06:51:03 2009-01-24,08:35:04 135
30.531270480769237 114.3131110192308 2009-01-24,19:55:56 2009-01-24,20:16:57 135
26.457013459770092 111.56539933908047 2009-01-25,03:31:54 2009-01-25,03:53:42 135
39.97528106410256 116.3336563461538 2009-01-09,13:03:04 2009-01-09,14:01:34 135
39.968256369691886 116.3996402089923 2009-01-09,14:14:04 2009-01-09,16:15:11 135
39.96846493269233 116.39949126442303 2009-01-09,16:45:34 2009-01-09,17:11:23 135
29.87274547734807 121.55055538121537 2010-02-17,11:06:49 2010-02-17,11:53:01 132
29.869959707027057 121.5487436016217 2010-02-17,12:03:03 2010-02-17,14:29:27 132
29.87321142473117 121.55026943548394 2010-02-17,14:58:23 2010-02-17,16:51:39 132
29.8746407883721 121.55149544186042 2010-02-17,17:06:45 2010-02-17,17:26:51 132
29.861587746987972 121.57740417383809 2010-02-17,17:54:30 2010-02-17,18:29:24 132
29.86167489119171 121.57756948445588 2010-02-17,18:29:26 2010-02-17,19:03:28 132
29.861904712937964 121.57687864690034 2010-02-17,19:03:30 2010-02-17,19:58:42 132
29.877167576923064 121.52852681250019 2010-04-30,23:52:25 2010-05-01,00:14:53 132
30.25063653658538 120.12795778048783 2010-05-01,12:32:43 2010-05-01,15:39:41 132
29.694443816602323 121.59489055405417 2010-02-19,11:27:23 2010-02-19,12:43:03 132
39.94427427333335 116.48005763733337 2008-08-16,09:44:09 2008-08-16,11:43:36 104
39.932935037499995 116.38515818125005 2008-08-16,14:25:37 2008-08-16,15:57:36 104
39.98397449090909 116.3061381090909 2007-12-24,11:52:38 2007-12-24,12:39:24 104
39.98439711499999 116.32432070499996 2007-12-24,17:01:09 2007-12-24,18:19:01 104
39.987432874999996 116.328477875 2007-12-24,18:19:06 2007-12-24,19:15:46 104
39.980105418181815 116.30842879545452 2007-12-24,19:48:58 2007-12-24,22:06:05 104
39.98164662 116.30596261999999 2008-09-08,18:43:06 2008-09-08,21:34:48 104
39.91239125263157 116.36726206315791 2008-08-07,11:48:14 2008-08-07,16:01:05 104
39.919891899999996 116.36156728 2008-08-07,16:01:10 2008-08-07,16:43:38 104
39.98357023928572 116.30278405 2007-12-10,19:13:38 2007-12-10,20:55:30 104
39.98749048214286 116.29892386785714 2007-12-10,21:03:35 2007-12-10,21:55:19 104
39.933971151388874 116.33709292777775 2008-10-01,08:36:25 2008-10-01,11:47:01 104
39.932428300000005 116.3069244 2008-01-13,13:14:17 2008-01-13,13:59:32 104
39.93733282727272 116.33010593636367 2008-01-13,13:59:37 2008-01-13,14:57:54 104
39.990756138095236 116.29832441714282 2008-01-13,15:25:39 2008-01-13,17:46:33 104
39.983064061538464 116.30771847692307 2008-01-13,19:44:33 2008-01-13,20:12:52 104
